"Model","Nugget","Sill","Range","sill.ratio","ME","rmse","r2","loglike","AIC","AICc","BIC","AICcDelta","ModelLik","AICcWt","cumwt"
"Exp",0.287176551076461,6.39544560753354,50914.4406746655,95.5096709643159,0.0424200414807506,0.170058494521829,0.966207154862232,0.954792658292014,2.09041468341597,3.09041468341597,3.50651508562039,23.8161038866927,6.73594838679615e-06,6.71649339432789e-06,6.71649339432789e-06
"Sph",0.309720023859993,3.28276269563636,40992.4005828308,90.5652630855197,0.0153643719503689,0.0615945169299001,0.995432759459514,7.01629866432892,-10.0325973286578,-9.03259732865783,-8.61649692645341,11.6930918746189,0.00288986370950855,0.00288151710803919,0.00288823360143351
"Gau",0.643856343336697,3.15719407251479,18207.097302051,79.6066909873599,0.0126525067738083,0.0507228701051006,0.996898182140226,12.8628446016384,-21.7256892032767,-20.7256892032767,-20.3095888010723,0,1,0.997111766398566,1
