"Model","Nugget","Sill","Range","sill.ratio","ME","rmse","r2","loglike","AIC","AICc","BIC","AICcDelta","ModelLik","AICcWt","cumwt"
"Exp",0.0606790817028956,0.299094841897322,31592.5873500422,79.7124278981292,0.00364152946796879,0.0145985953210504,0.914225606798342,40.8524854057427,-77.7049708114854,-76.7049708114854,-76.288870409281,12.7230103451594,0.00172676567449835,0.00114093250332285,0.00114093250332285
"Sph",0.0637336053198436,0.210233523269459,34934.1584386548,69.6843755797426,0.00178234912339572,0.00714529260360392,0.978017910218652,46.5440558345658,-89.0881116691316,-88.0881116691316,-87.6720112669272,1.33986948751317,0.5117419710556,0.338125234196272,0.339266166699595
"Gau",0.0826814248026823,0.210603585038165,16757.430426843,60.7407325057174,0.00231574337319648,0.00928362674806436,0.963445193455259,47.2139905783224,-90.4279811566448,-89.4279811566448,-89.0118807544404,0,1,0.660733833300405,1
