"Model","Nugget","Sill","Range","sill.ratio","ME","rmse","r2","loglike","AIC","AICc","BIC","AICcDelta","ModelLik","AICcWt","cumwt"
"Sph",2.22111521283039,2.22111521283039,12925.6659045696,0,0.931153891341023,3.73292018117083,0.00681602821983844,-20.9489764226467,45.8979528452933,46.8979528452933,47.3140532474978,18.3842428918095,0.000101838590321167,0.000101092830678478,0.000101092830678478
"Gau",1.16797685921942,28082.5833064243,4573635.76222745,99.995840920878,0.608881853024121,2.44095780325747,0.0157965921723129,-16.680147205474,37.3602944109481,38.3602944109481,38.7763948131525,9.84658445746419,0.00727513995192149,0.00722186441311098,0.00732295724378946
"Exp",1.22275245767411,12.3279425910338,394560.586695993,90.0814556147963,0.485418210081153,1.94600210509793,0.0246309655829514,-11.7568549767419,27.5137099534839,28.5137099534839,28.9298103556883,0,1,0.992677042756211,1
