"Model","Nugget","Sill","Range","sill.ratio","ME","rmse","r2","loglike","AIC","AICc","BIC","AICcDelta","ModelLik","AICcWt","cumwt"
"Exp",0,133.283931762531,14156.3694184168,100,4.14246398147351,16.6068010239915,0.816437790894376,-61.1165239824872,126.233047964974,127.233047964974,127.649148367179,7.58589579255796,0.0225290904430356,0.0154330524126261,0.0154330524126261
"Gau",20.3771871475264,107.290082699307,11055.7737685923,81.0073898399018,0.668350535343707,2.67936291163189,0.994181420959572,-58.1507902078259,120.301580415652,121.301580415652,121.717680817856,1.6544282432354,0.437265760289414,0.299539185297178,0.314972237709805
"Sph",7.55112332284989,114.775866203085,26249.6107133654,93.4209833716359,3.36180242512526,13.4771923680477,0.87102185688066,-57.3235760862082,118.647152172416,119.647152172416,120.063252574621,0,1,0.685027762290195,1
