"Model","Nugget","Sill","Range","sill.ratio","ME","rmse","r2","loglike","AIC","AICc","BIC","AICcDelta","ModelLik","AICcWt","cumwt"
"Exp",0.587022959191566,8.01646785671151,11640.1926107588,92.6772866843082,0.180108304952149,0.722039538903795,0.867738683029076,-13.9521329628791,31.9042659257583,32.9042659257583,33.3203663279627,9.3808160287657,0.00918293862073837,0.00554175037183552,0.00554175037183552
"Gau",2.13137029845746,7.06869570594893,11184.2319797585,69.847757109367,0.0653494135368393,0.261980481301564,0.980328768786365,-9.69579994985144,23.3915998997029,24.3915998997029,24.8077003019073,0.868150002710308,0.647863663010442,0.390974920302598,0.396516670674434
"Sph",1.34387713121791,7.3225735889315,25080.2117499536,81.647475236722,0.154034541495622,0.617511942862963,0.899698039673669,-9.26172494849629,22.5234498969926,23.5234498969926,23.939550299197,0,1,0.603483329325566,1
