"Station.ID","WY","UTMX","UTMY","mean.TSS","mean.Turb","mean.TP"
"FEBIN",1995,493117.524789308,2981935.38135664,6.5,NA,89.5
"FEBIN",1996,493117.524789308,2981935.38135664,2.8,2.38275,58
"FEBIN",1997,493117.524789308,2981935.38135664,7.04545454545455,3.70090909090909,92.3333333333333
"FEBIN",1998,493117.524789308,2981935.38135664,3.75,2.6287,138.1
"FEBIN",1999,493117.524789308,2981935.38135664,11.7727272727273,6.74,167.909090909091
"FEBIN",2000,493117.524789308,2981935.38135664,14.5555555555556,8.79,118
"FEBIN",2001,493117.524789308,2981935.38135664,49.68,30.92,179.8
"FEBIN",2002,493117.524789308,2981935.38135664,3.08571428571429,2.38557142857143,76.8571428571429
"FEBIN",2003,493117.524789308,2981935.38135664,3.79090909090909,2.94,176.6
"FEBIN",2004,493117.524789308,2981935.38135664,4.53333333333333,3.74833333333333,114.75
"FEBIN",2005,493117.524789308,2981935.38135664,14.35,11.85,140.6
"FEBIN",2006,493117.524789308,2981935.38135664,21.0454545454545,21.6272727272727,177.818181818182
"FEBIN",2007,493117.524789308,2981935.38135664,32,21.85,196.5
"FEBIN",2009,493117.524789308,2981935.38135664,2.33333333333333,2.08333333333333,136.5
"FEBIN",2010,493117.524789308,2981935.38135664,3.7,3.27,134.5
"FEBIN",2011,493117.524789308,2981935.38135664,1.85714285714286,2.12857142857143,93.1428571428571
"FEBIN",2012,493117.524789308,2981935.38135664,9.5,4.925,172
"FEBIN",2013,493117.524789308,2981935.38135664,3.125,3.9125,125.125
"FEBIN",2014,493117.524789308,2981935.38135664,3.66666666666667,3.46666666666667,120.5
"FEBIN",2015,493117.524789308,2981935.38135664,3.22727272727273,2.87272727272727,135.363636363636
"FEBIN",2016,493117.524789308,2981935.38135664,4.44444444444444,4,141.444444444444
"FEBIN",2017,493117.524789308,2981935.38135664,4.5,4.85,108.375
"FEBIN",2018,493117.524789308,2981935.38135664,7.8,5.92,212
"FEBIN",2019,493117.524789308,2981935.38135664,7,3.25,145.5
"FEBIN",2020,493117.524789308,2981935.38135664,18.8333333333333,7.5,85
"FEBOUT",1995,499411.084085989,2983311.83645758,7.5,NA,49.5
"FEBOUT",1996,499411.084085989,2983311.83645758,7.8,7.655,54.8
"FEBOUT",1997,499411.084085989,2983311.83645758,15.3,9.65545454545455,64.2222222222222
"FEBOUT",1998,499411.084085989,2983311.83645758,14.4285714285714,5.77833333333333,108.571428571429
"FEBOUT",1999,499411.084085989,2983311.83645758,19.6,14.9066666666667,100.75
"FEBOUT",2000,499411.084085989,2983311.83645758,21.1428571428571,20.386,105.214285714286
"FEBOUT",2001,499411.084085989,2983311.83645758,33.2,26.364,116.75
"FEBOUT",2002,499411.084085989,2983311.83645758,10.5714285714286,7.11,96.7142857142857
"FEBOUT",2003,499411.084085989,2983311.83645758,9.24,6.191,105.4
