"z","area.km2","volume.km3"
5.60832,0,0
5.54736,0,0
5.4864,0,0
5.42544,0,0
5.36448,0,0
5.30352,0,0
5.24256,0,0
5.1816,0,0
5.12064,35.430218687808,0
5.05968,1789.26442662528,0
4.99872,1787.13893513434,5.60976560874329
4.93776,1784.59904963347,5.50089707731989
4.8768,1781.62288216646,5.39219552897506
4.81584,1777.86352349165,5.28369766362433
4.75488,1773.00214895635,5.17546102066947
4.69392,1766.85007248634,5.06755880833431
4.63296,1759.11486318259,4.96007836776143
4.572,1749.14199125741,4.85313290803931
4.51104,1735.2947745648,4.74690058135783
4.45008,1716.53517027763,4.64166793659445
4.38912,1694.03469502061,4.53769452959094
4.32816,1668.1816184688,4.43519967333145
4.2672,1639.41947831578,4.33437042249476
4.20624,1609.35180890285,4.23534684410364
4.14528,1579.81087185581,4.13814834099402
4.08432,1553.34982851994,4.0426741009657
4.02336,1531.34278917926,3.94866788194441
3.9624,1511.40895549862,3.85593479704257
3.90144,1493.52677397274,3.7643503313728
3.84048,1477.89363569069,3.67379136139931
3.77952,1464.12221858842,3.58412584417983
3.71856,1451.08375072992,3.49527420872712
3.6576,1438.78029456269,3.40719433900273
3.59664,1426.42177476365,3.31985958070461
3.53568,1414.2794589193,3.23327742477829
3.47472,1402.53390408787,3.14742164132899
3.41376,1390.96192000608,3.062277705466
3.3528,1379.64952559866,2.97782992536341
3.29184,1367.71023076762,2.8940821102415
3.23088,1356.04515783974,2.8110679000456
3.16992,1345.3876834128,2.72873213353445
3.10896,1334.47846961837,2.64704906015611
3.048,1323.73240285248,2.56602754051778
2.98704,1313.64523231718,2.48564431791088
2.92608,1303.81598849184,2.40586141877533
2.86512,1291.02910206566,2.32674475977688
2.80416,1269.78255772013,2.2486260676195
2.7432,1242.43953937402,2.17211724574963
2.68224,1228.61229683501,2.09678974724202
